Symbol,Security,GICS Sector,GICS Sub Industry,,,,,
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,,,,,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,,,,,
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,,,,,
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,,,,,
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,,,,,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,,,,,
CHD,Church & Dwight,Consumer Staples,Household Products,,,,,
CL,Colgate-Palmolive,Consumer Staples,Household Products,,,,,
CLX,The Clorox Company,Consumer Staples,Household Products,,,,,
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,,,,,
COTY,"Coty, Inc",Consumer Staples,Personal Products,,,,,
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,,,,,
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,,,,,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,,,,,
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,,,,,
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,,,,,
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,,,,,
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,,,,,
KMB,Kimberly-Clark,Consumer Staples,Household Products,,,,,
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,,,,,
KR,Kroger Co.,Consumer Staples,Food Retail,,,,,
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,,,,,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,,,,,
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,,,,,
MNST,Monster Beverage,Consumer Staples,Soft Drinks,,,,,
MO,Altria Group Inc,Consumer Staples,Tobacco,,,,,
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,,,,,
PG,Procter & Gamble,Consumer Staples,Personal Products,,,,,
PM,Philip Morris International,Consumer Staples,Tobacco,,,,,
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,,,,,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,,,,,
SYY,Sysco Corp.,Consumer Staples,Food Distributors,,,,,
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,,,,,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,,,,,
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,,,,,
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,,,,,
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,,,,,
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,,,,,
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,,,,,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,,,,,
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,,,,,
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,,,,,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,,,,,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,,,,,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,,,,,
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,,,,,
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,,,,,
HES,Hess Corporation,Energy,Integrated Oil & Gas,,,,,
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,,,,,
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,,,,,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,,,,,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,,,,,
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,,,,,
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,,,,,
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,,,,,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,,,,,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,,,,,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,,,,,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,,,,,
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,,,,,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,,,,,
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,,,,,
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,,,,,
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,,,,,
AFL,AFLAC Inc,Financials,Life & Health Insurance,,,,,
AIG,American International Group,Financials,Property & Casualty Insurance,,,,,
AIZ,Assurant,Financials,Multi-line Insurance,,,,,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,,,,,
ALL,Allstate Corp,Financials,Property & Casualty Insurance,,,,,
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,,,,,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,,,,,
AON,Aon plc,Financials,Insurance Brokers,,,,,
AXP,American Express Co,Financials,Consumer Finance,,,,,
BAC,Bank of America Corp,Financials,Diversified Banks,,,,,
BBT,BB&T Corporation,Financials,Regional Banks,,,,,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,,,,
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,,,,,
BLK,BlackRock,Financials,Asset Management & Custody Banks,,,,,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,,,,,
C,Citigroup Inc.,Financials,Diversified Banks,,,,,
CB,Chubb Limited,Financials,Property & Casualty Insurance,,,,,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,,,,,
CFG,Citizens Financial Group,Financials,Regional Banks,,,,,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,,,,,
CMA,Comerica Inc.,Financials,Diversified Banks,,,,,
CME,CME Group Inc.,Financials,Financial Exchanges & Data,,,,,
COF,Capital One Financial,Financials,Consumer Finance,,,,,
DFS,Discover Financial Services,Financials,Consumer Finance,,,,,
ETFC,E*Trade,Financials,Investment Banking & Brokerage,,,,,
FITB,Fifth Third Bancorp,Financials,Regional Banks,,,,,
FRC,First Republic Bank,Financials,Regional Banks,,,,,
GL,Globe Life Inc.,Financials,Life & Health Insurance,,,,,
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,,,,,
HBAN,Huntington Bancshares,Financials,Regional Banks,,,,,
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,,,,,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,,,,,
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,,,,,
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,,,,,
KEY,KeyCorp,Financials,Regional Banks,,,,,
L,Loews Corp.,Financials,Multi-line Insurance,,,,,
LNC,Lincoln National,Financials,Multi-line Insurance,,,,,
MCO,Moody's Corp,Financials,Financial Exchanges & Data,,,,,
MET,MetLife Inc.,Financials,Life & Health Insurance,,,,,
MKTX,MarketAxess,Financials,Financial Exchanges & Data,,,,,
MMC,Marsh & McLennan,Financials,Insurance Brokers,,,,,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,,,,,
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,,,,,
MTB,M&T Bank Corp.,Financials,Regional Banks,,,,,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,,,,,
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,,,,,
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,,,,,
PFG,Principal Financial Group,Financials,Life & Health Insurance,,,,,
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,,,,,
PNC,PNC Financial Services,Financials,Regional Banks,,,,,
PRU,Prudential Financial,Financials,Life & Health Insurance,,,,,
RE,Everest Re Group Ltd.,Financials,Reinsurance,,,,,
RF,Regions Financial Corp.,Financials,Regional Banks,,,,,
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,,,,,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,,,,,
SIVB,SVB Financial,Financials,Regional Banks,,,,,
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,,,,,
STI,SunTrust Banks,Financials,Regional Banks,,,,,
STT,State Street Corp.,Financials,Asset Management & Custody Banks,,,,,
SYF,Synchrony Financial,Financials,Consumer Finance,,,,,
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,,,,,
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,,,,,
UNM,Unum Group,Financials,Life & Health Insurance,,,,,
USB,U.S. Bancorp,Financials,Diversified Banks,,,,,
WFC,Wells Fargo,Financials,Diversified Banks,,,,,
WLTW,Willis Towers Watson,Financials,Insurance Brokers,,,,,
ZION,Zions Bancorp,Financials,Regional Banks,,,,,
A,Agilent Technologies Inc,Health Care,Health Care Equipment,,,,,
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,,,,,
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,,,,,
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,,,,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,,,,,
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,,,,,
ALGN,Align Technology,Health Care,Health Care Supplies,,,,,
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,,,,,
AMGN,Amgen Inc.,Health Care,Biotechnology,,,,,
ANTM,Anthem,Health Care,Managed Health Care,,,,,
BAX,Baxter International Inc.,Health Care,Health Care Equipment,,,,,
BDX,Becton Dickinson,Health Care,Health Care Equipment,,,,,
BIIB,Biogen Inc.,Health Care,Biotechnology,,,,,
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,,,,,
BSX,Boston Scientific,Health Care,Health Care Equipment,,,,,
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,,,,,
CELG,Celgene Corp.,Health Care,Biotechnology,,,,,
CERN,Cerner,Health Care,Health Care Technology,,,,,
CI,CIGNA Corp.,Health Care,Managed Health Care,,,,,
CNC,Centene Corporation,Health Care,Managed Health Care,,,,,
COO,The Cooper Companies,Health Care,Health Care Supplies,,,,,
CVS,CVS Health,Health Care,Health Care Services,,,,,
DGX,Quest Diagnostics,Health Care,Health Care Services,,,,,
DHR,Danaher Corp.,Health Care,Health Care Equipment,,,,,
DVA,DaVita Inc.,Health Care,Health Care Facilities,,,,,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,,,,,
GILD,Gilead Sciences,Health Care,Biotechnology,,,,,
HCA,HCA Healthcare,Health Care,Health Care Facilities,,,,,
HOLX,Hologic,Health Care,Health Care Equipment,,,,,
HSIC,Henry Schein,Health Care,Health Care Distributors,,,,,
HUM,Humana Inc.,Health Care,Managed Health Care,,,,,
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,,,,,
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,,,,,
INCY,Incyte,Health Care,Biotechnology,,,,,
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,,,,,
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,,,,,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,,,,,
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,,,,,
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,,,,,
MCK,McKesson Corp.,Health Care,Health Care Distributors,,,,,
MDT,Medtronic plc,Health Care,Health Care Equipment,,,,,
MRK,Merck & Co.,Health Care,Pharmaceuticals,,,,,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,,,,,
MYL,Mylan N.V.,Health Care,Pharmaceuticals,,,,,
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,,,,,
PKI,PerkinElmer,Health Care,Health Care Equipment,,,,,
PRGO,Perrigo,Health Care,Pharmaceuticals,,,,,
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,,,,,
RMD,ResMed,Health Care,Health Care Equipment,,,,,
SYK,Stryker Corp.,Health Care,Health Care Equipment,,,,,
TFX,Teleflex,Health Care,Health Care Equipment,,,,,
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,,,,,
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,,,,,
UNH,United Health Group Inc.,Health Care,Managed Health Care,,,,,
VAR,Varian Medical Systems,Health Care,Health Care Equipment,,,,,
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,,,,,
WAT,Waters Corporation,Health Care,Health Care Distributors,,,,,
WCG,WellCare,Health Care,Managed Health Care,,,,,
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,,,,,
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,,,,,
ZTS,Zoetis,Health Care,Pharmaceuticals,,,,,
AAL,American Airlines Group,Industrials,Airlines,,,,,
ALK,Alaska Air Group Inc,Industrials,Airlines,,,,,
ALLE,Allegion,Industrials,Building Products,,,,,
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,,,,,
AOS,A.O. Smith Corp,Industrials,Building Products,,,,,
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,,,,,
BA,Boeing Company,Industrials,Aerospace & Defense,,,,,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,,,,,
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,,,,,
CMI,Cummins Inc.,Industrials,Industrial Machinery,,,,,
CPRT,Copart Inc,Industrials,Diversified Support Services,,,,,
CSX,CSX Corp.,Industrials,Railroads,,,,,
CTAS,Cintas Corporation,Industrials,Diversified Support Services,,,,,
DAL,Delta Air Lines Inc.,Industrials,Airlines,,,,,
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,,,,,
DOV,Dover Corp.,Industrials,Industrial Machinery,,,,,
EFX,Equifax Inc.,Industrials,Research & Consulting Services,,,,,
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,,,,,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,,,,,
EXPD,Expeditors,Industrials,Air Freight & Logistics,,,,,
FAST,Fastenal Co,Industrials,Building Products,,,,,
FBHS,Fortune Brands Home & Security,Industrials,Building Products,,,,,
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,,,,,
FLS,Flowserve Corporation,Industrials,Industrial Machinery,,,,,
FTV,Fortive Corp,Industrials,Industrial Machinery,,,,,
GD,General Dynamics,Industrials,Aerospace & Defense,,,,,
GE,General Electric,Industrials,Industrial Conglomerates,,,,,
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,,,,,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,,,,,
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,,,,,
IEX,IDEX Corporation,Industrials,Industrial Machinery,,,,,
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,,,,,
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,,,,,
ITW,Illinois Tool Works,Industrials,Industrial Machinery,,,,,
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,,,,,
JCI,Johnson Controls International,Industrials,Building Products,,,,,
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,,,,,
KSU,Kansas City Southern,Industrials,Railroads,,,,,
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,,,,,
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,,,,,
LUV,Southwest Airlines,Industrials,Airlines,,,,,
MAS,Masco Corp.,Industrials,Building Products,,,,,
MMM,3M Company,Industrials,Industrial Conglomerates,,,,,
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,,,,,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,,,,,
NSC,Norfolk Southern Corp.,Industrials,Railroads,,,,,
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,,,,,
PH,Parker-Hannifin,Industrials,Industrial Machinery,,,,,
PNR,Pentair plc,Industrials,Industrial Machinery,,,,,
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,,,,,
RHI,Robert Half International,Industrials,Human Resource & Employment Services,,,,,
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,,,,,
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,,,,,
ROP,Roper Technologies,Industrials,Industrial Conglomerates,,,,,
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,,,,,
RTN,Raytheon Co.,Industrials,Aerospace & Defense,,,,,
SNA,Snap-on,Industrials,Industrial Machinery,,,,,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,,,,,
TDG,TransDigm Group,Industrials,Aerospace & Defense,,,,,
TXT,Textron Inc.,Industrials,Aerospace & Defense,,,,,
UAL,United Airlines Holdings,Industrials,Airlines,,,,,
UNP,Union Pacific Corp,Industrials,Railroads,,,,,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,,,,,
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,,,,,
UTX,United Technologies,Industrials,Aerospace & Defense,,,,,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,,,,,
WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,,,,,
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,,,,,
XYL,Xylem Inc.,Industrials,Industrial Machinery,,,,,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,,,,,
ADBE,Adobe Systems Inc,Information Technology,Application Software,,,,,
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,,,,,
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,,,,,
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,,,,,
ADSK,Autodesk Inc.,Information Technology,Application Software,,,,,
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,,,,,
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,,,,,
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,,,,,
ANET,Arista Networks,Information Technology,Communications Equipment,,,,,
ANSS,ANSYS,Information Technology,Application Software,,,,,
APH,Amphenol Corp,Information Technology,Electronic Components,,,,,
AVGO,Broadcom Inc.,Information Technology,Semiconductors,,,,,
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,,,,,
CDNS,Cadence Design Systems,Information Technology,Application Software,,,,,
CDW,CDW,Information Technology,Technology Distributors,,,,,
CRM,Salesforce.com,Information Technology,Application Software,,,,,
CSCO,Cisco Systems,Information Technology,Communications Equipment,,,,,
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,,,,,
CTXS,Citrix Systems,Information Technology,Application Software,,,,,
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,,,,,
FFIV,F5 Networks,Information Technology,Communications Equipment,,,,,
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,,,,,
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,,,,,
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,,,,,
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,,,,,
FTNT,Fortinet,Information Technology,Systems Software,,,,,
GLW,Corning Inc.,Information Technology,Electronic Components,,,,,
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,,,,,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,,,,,
INTC,Intel Corp.,Information Technology,Semiconductors,,,,,
INTU,Intuit Inc.,Information Technology,Application Software,,,,,
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,,,,,
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,,,,,
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,,,,,
JNPR,Juniper Networks,Information Technology,Communications Equipment,,,,,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,,,,,
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,,,,,
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,,,,,
LRCX,Lam Research,Information Technology,Semiconductor Equipment,,,,,
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,,,,,
MCHP,Microchip Technology,Information Technology,Semiconductors,,,,,
MSFT,Microsoft Corp.,Information Technology,Systems Software,,,,,
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,,,,,
MU,Micron Technology,Information Technology,Semiconductors,,,,,
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,,,,,
NLOK,NortonLifeLock,Information Technology,Application Software,,,,,
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,
